,symbol,datetime,open,high,low,close
0,GOOGL,2022-01-03 05:00:00,145.055,145.851,143.7128,144.9915
1,GOOGL,2022-01-04 05:00:00,145.396,146.4849,143.7163,144.3995
2,GOOGL,2022-01-05 05:00:00,144.42,144.4994,137.688,137.775
3,GOOGL,2022-01-06 05:00:00,136.9985,139.94,136.5585,137.7475
4,GOOGL,2022-01-07 05:00:00,138.1455,138.4485,135.7665,137.017
5,GOOGL,2022-01-10 05:00:00,135.078,138.8195,133.1645,138.6695
6,GOOGL,2022-01-11 05:00:00,138.007,140.216,136.6923,139.736
7,GOOGL,2022-01-12 05:00:00,141.15,142.6078,140.6945,141.4305
8,GOOGL,2022-01-13 05:00:00,141.54,142.85,138.409,138.587
9,GOOGL,2022-01-14 05:00:00,137.079,140.742,136.9985,139.4805
10,GOOGL,2022-01-18 05:00:00,136.175,137.1315,135.4383,135.998
11,GOOGL,2022-01-19 05:00:00,136.5235,137.9595,135.0155,135.1165
12,GOOGL,2022-01-20 05:00:00,136.25,137.626,132.9647,133.3075
13,GOOGL,2022-01-21 05:00:00,132.5935,134.8655,130.0865,130.3515
14,GOOGL,2022-01-24 05:00:00,125.978,131.203,124.5,130.804
15,GOOGL,2022-01-25 05:00:00,128.74,129.399,126.5005,126.935
16,GOOGL,2022-01-26 05:00:00,131.119,133.0,127.142,129.233
17,GOOGL,2022-01-27 05:00:00,131.304,132.6523,128.9323,129.005
18,GOOGL,2022-01-28 05:00:00,129.659,133.3565,128.485,133.351
19,GOOGL,2022-01-31 05:00:00,134.162,135.473,132.2095,135.3035
20,GOOGL,2022-02-01 05:00:00,137.5945,137.7928,134.3685,137.644
21,GOOGL,2022-02-02 05:00:00,151.25,151.5466,145.5225,148.0
22,GOOGL,2022-02-03 05:00:00,145.7055,149.675,142.6653,143.09
23,GOOGL,2022-02-04 05:00:00,143.4446,144.875,140.515,143.293
24,GOOGL,2022-02-07 05:00:00,144.25,144.25,138.9,139.201
25,GOOGL,2022-02-08 05:00:00,139.0265,140.0,137.0139,139.399
26,GOOGL,2022-02-09 05:00:00,140.9635,142.5243,140.187,141.592
27,GOOGL,2022-02-10 05:00:00,139.7035,141.4845,137.957,138.62
28,GOOGL,2022-02-11 05:00:00,138.6,139.1563,133.4,134.2825
29,GOOGL,2022-02-14 05:00:00,133.2565,136.3,133.2565,135.526
30,GOOGL,2022-02-15 05:00:00,137.5705,138.1085,135.8215,136.6085
31,GOOGL,2022-02-16 05:00:00,136.6465,138.086,134.9238,137.738
32,GOOGL,2022-02-17 05:00:00,136.243,137.1135,132.4785,132.539
33,GOOGL,2022-02-18 05:00:00,133.467,134.07,130.1965,130.403
34,GOOGL,2022-02-22 05:00:00,129.8381,132.1803,128.2233,129.8135
35,GOOGL,2022-02-23 05:00:00,131.6485,132.051,127.5275,127.588
36,GOOGL,2022-02-24 05:00:00,124.9533,133.0,124.9533,132.691
37,GOOGL,2022-02-25 05:00:00,133.552,135.2715,131.7515,134.4595
38,GOOGL,2022-02-28 05:00:00,133.05,135.7515,132.5923,135.057
39,GOOGL,2022-03-01 05:00:00,134.8785,136.2555,133.2185,134.0615
40,GOOGL,2022-03-02 05:00:00,134.628,135.2625,133.0715,134.5715
41,GOOGL,2022-03-03 05:00:00,136.01,136.4395,133.0255,133.8995
42,GOOGL,2022-03-04 05:00:00,132.9275,133.8515,130.3375,131.9065
43,GOOGL,2022-03-07 05:00:00,131.488,131.735,126.295,126.3785
44,GOOGL,2022-03-08 05:00:00,126.25,131.25,125.6747,127.1045
45,GOOGL,2022-03-09 05:00:00,131.25,133.7355,129.9005,133.42
46,GOOGL,2022-03-10 05:00:00,131.266,133.2718,130.9125,132.4295
47,GOOGL,2022-03-11 05:00:00,133.4885,133.7955,129.6315,129.8705
48,GOOGL,2022-03-14 04:00:00,130.25,130.409,125.275,125.951
49,GOOGL,2022-03-15 04:00:00,126.976,129.8545,125.7205,129.198
50,GOOGL,2022-03-16 04:00:00,130.733,133.333,128.7345,133.2805
51,GOOGL,2022-03-17 04:00:00,133.149,134.0804,132.185,133.839
52,GOOGL,2022-03-18 04:00:00,133.4245,136.244,132.2583,136.1255
53,GOOGL,2022-03-21 04:00:00,136.1635,137.05,134.0923,136.1015
54,GOOGL,2022-03-22 04:00:00,136.1015,141.05,136.1015,139.868
55,GOOGL,2022-03-23 04:00:00,138.7025,139.5885,137.835,138.2755
56,GOOGL,2022-03-24 04:00:00,139.2,141.6188,137.7505,141.572
57,GOOGL,2022-03-25 04:00:00,141.916,142.035,139.7375,141.673
58,GOOGL,2022-03-28 04:00:00,140.9005,142.0025,139.8113,141.4555
59,GOOGL,2022-03-29 04:00:00,142.6475,143.7935,142.0383,142.5055
60,GOOGL,2022-03-30 04:00:00,142.46,142.7203,141.6,141.9385
61,GOOGL,2022-03-31 04:00:00,142.053,142.1078,139.0245,139.0675
62,GOOGL,2022-04-01 04:00:00,139.5,140.4708,138.3075,140.1505
63,GOOGL,2022-04-04 04:00:00,140.3585,143.712,140.3105,142.9715
64,GOOGL,2022-04-05 04:00:00,142.869,142.9905,140.3825,140.591
65,GOOGL,2022-04-06 04:00:00,138.75,139.3605,135.517,136.548
66,GOOGL,2022-04-07 04:00:00,136.01,137.1645,134.2274,135.8885
67,GOOGL,2022-04-08 04:00:00,135.5835,135.67,132.9655,133.2875
68,GOOGL,2022-04-11 04:00:00,131.8235,132.0925,128.6685,128.8235
69,GOOGL,2022-04-12 04:00:00,131.6,131.6,126.789,127.7145
70,GOOGL,2022-04-13 04:00:00,128.0,130.334,127.7413,129.894
71,GOOGL,2022-04-14 04:00:00,130.4795,130.4795,126.601,126.73
72,GOOGL,2022-04-18 04:00:00,127.0,128.2125,126.182,127.6765
73,GOOGL,2022-04-19 04:00:00,127.6915,130.333,126.9995,130.009
74,GOOGL,2022-04-20 04:00:00,130.892,131.399,127.5,128.04
75,GOOGL,2022-04-21 04:00:00,129.25,130.0985,124.5265,124.8145
76,GOOGL,2022-04-22 04:00:00,125.0,125.402,118.925,119.6355
77,GOOGL,2022-04-25 04:00:00,119.101,123.2775,118.511,123.074
78,GOOGL,2022-04-26 04:00:00,122.2945,122.51,118.511,118.65
79,GOOGL,2022-04-27 04:00:00,114.4693,117.242,112.7365,114.2945
80,GOOGL,2022-04-28 04:00:00,116.415,119.6495,114.115,118.5225
81,GOOGL,2022-04-29 04:00:00,116.7345,117.9198,113.8145,114.1095
82,GOOGL,2022-05-02 04:00:00,113.405,116.7455,112.6,116.583
83,GOOGL,2022-05-03 04:00:00,116.4305,118.4418,116.0345,117.334
84,GOOGL,2022-05-04 04:00:00,117.0315,122.8545,115.116,122.261
85,GOOGL,2022-05-05 04:00:00,120.204,121.039,115.0058,116.5055
86,GOOGL,2022-05-06 04:00:00,115.1845,117.5715,114.0155,115.7465
87,GOOGL,2022-05-09 04:00:00,113.25,115.0771,112.0005,112.511
88,GOOGL,2022-05-10 04:00:00,115.5075,116.25,112.9005,114.395
89,GOOGL,2022-05-11 04:00:00,113.2365,116.3644,113.2365,113.6025
90,GOOGL,2022-05-12 04:00:00,111.3775,114.295,109.8245,112.844
91,GOOGL,2022-05-13 04:00:00,114.533,117.875,113.605,116.0505
92,GOOGL,2022-05-16 04:00:00,114.9555,116.17,113.8895,114.445
93,GOOGL,2022-05-17 04:00:00,116.8405,116.9,114.8698,116.473
94,GOOGL,2022-05-18 04:00:00,115.0,115.4,111.5555,111.8995
95,GOOGL,2022-05-19 04:00:00,111.4315,113.01,110.0,110.384
