,symbol,datetime,open,high,low,close
0,AMZN,2022-01-03 05:00:00,167.55,170.7035,166.1605,170.4045
1,AMZN,2022-01-04 05:00:00,170.438,171.4,166.3495,167.522
2,AMZN,2022-01-05 05:00:00,166.883,167.1263,164.357,164.357
3,AMZN,2022-01-06 05:00:00,163.4505,164.8,161.9372,163.254
4,AMZN,2022-01-07 05:00:00,163.839,165.2433,162.031,162.554
5,AMZN,2022-01-10 05:00:00,160.5855,161.6615,156.3045,161.486
6,AMZN,2022-01-11 05:00:00,161.5,166.35,160.7015,165.362
7,AMZN,2022-01-12 05:00:00,166.575,166.878,164.417,165.207
8,AMZN,2022-01-13 05:00:00,165.2505,166.2215,161.091,161.214
9,AMZN,2022-01-14 05:00:00,160.15,162.25,159.8005,162.138
10,AMZN,2022-01-18 05:00:00,159.105,159.7345,157.6645,158.9175
11,AMZN,2022-01-19 05:00:00,158.762,159.25,156.25,156.299
12,AMZN,2022-01-20 05:00:00,156.766,158.0,151.351,151.6675
13,AMZN,2022-01-21 05:00:00,149.95,150.9,142.0704,142.643
14,AMZN,2022-01-24 05:00:00,139.0,144.945,135.352,144.544
15,AMZN,2022-01-25 05:00:00,142.2425,143.6,138.145,139.986
16,AMZN,2022-01-26 05:00:00,144.75,145.1848,137.3185,138.8725
17,AMZN,2022-01-27 05:00:00,140.8,144.2435,139.35,139.6375
18,AMZN,2022-01-28 05:00:00,140.8605,143.998,137.9293,143.978
19,AMZN,2022-01-31 05:00:00,144.75,150.3605,144.3005,149.5735
20,AMZN,2022-02-01 05:00:00,150.0,151.708,147.6277,151.1935
21,AMZN,2022-02-02 05:00:00,155.0504,155.075,148.8636,150.6125
22,AMZN,2022-02-03 05:00:00,141.7375,144.2475,138.333,138.8455
23,AMZN,2022-02-04 05:00:00,155.6065,161.2,150.608,157.6395
24,AMZN,2022-02-07 05:00:00,158.52,162.6908,157.25,157.9355
25,AMZN,2022-02-08 05:00:00,156.7505,161.7925,155.5505,161.4135
26,AMZN,2022-02-09 05:00:00,162.8735,163.8345,160.25,161.1895
27,AMZN,2022-02-10 05:00:00,158.35,160.7165,157.75,159.0035
28,AMZN,2022-02-11 05:00:00,158.1345,159.0,152.7338,153.2935
29,AMZN,2022-02-14 05:00:00,151.751,158.4483,151.65,155.167
30,AMZN,2022-02-15 05:00:00,157.6055,158.007,154.6375,156.5105
31,AMZN,2022-02-16 05:00:00,155.7905,158.834,154.7345,158.1005
32,AMZN,2022-02-17 05:00:00,158.146,160.3488,154.5,154.6525
33,AMZN,2022-02-18 05:00:00,155.4995,155.4995,150.893,152.6015
34,AMZN,2022-02-22 05:00:00,150.4785,152.9825,148.4855,150.1975
35,AMZN,2022-02-23 05:00:00,151.6505,151.763,144.651,144.827
36,AMZN,2022-02-24 05:00:00,139.8375,151.749,139.5,151.358
37,AMZN,2022-02-25 05:00:00,150.55,153.99,149.2135,153.7885
38,AMZN,2022-02-28 05:00:00,152.425,154.45,150.85,153.563
39,AMZN,2022-03-01 05:00:00,152.7325,154.099,149.977,151.142
40,AMZN,2022-03-02 05:00:00,150.849,152.9995,148.75,152.0525
41,AMZN,2022-03-03 05:00:00,153.5315,153.929,146.856,147.8985
42,AMZN,2022-03-04 05:00:00,147.159,147.85,143.807,145.641
43,AMZN,2022-03-07 05:00:00,145.4435,146.0945,137.4165,137.453
44,AMZN,2022-03-08 05:00:00,136.6835,140.6995,133.5725,136.0145
45,AMZN,2022-03-09 05:00:00,139.5,140.25,136.828,139.279
46,AMZN,2022-03-10 05:00:00,145.685,148.6743,143.978,146.8175
47,AMZN,2022-03-11 05:00:00,149.5745,149.675,145.369,145.5245
48,AMZN,2022-03-14 04:00:00,145.981,147.45,140.884,141.853
49,AMZN,2022-03-15 04:00:00,142.85,147.985,142.0,147.3665
50,AMZN,2022-03-16 04:00:00,148.5,153.15,147.3535,153.104
51,AMZN,2022-03-17 04:00:00,152.6405,157.4985,152.14,157.239
52,AMZN,2022-03-18 04:00:00,156.813,161.594,156.011,161.2505
53,AMZN,2022-03-21 04:00:00,161.1208,163.084,159.553,161.4915
54,AMZN,2022-03-22 04:00:00,161.8055,166.167,161.699,164.889
55,AMZN,2022-03-23 04:00:00,163.705,166.37,162.687,163.408
56,AMZN,2022-03-24 04:00:00,163.7495,164.1185,160.05,163.6495
57,AMZN,2022-03-25 04:00:00,164.0,165.3685,162.25,164.7735
58,AMZN,2022-03-28 04:00:00,164.975,169.0375,164.9,168.9905
59,AMZN,2022-03-29 04:00:00,170.384,170.8315,167.8685,169.315
60,AMZN,2022-03-30 04:00:00,168.5095,168.9505,165.5,166.301
61,AMZN,2022-03-31 04:00:00,166.4448,166.495,162.9535,162.9975
