,symbol,datetime,open,high,low,close
0,MSFT,2022-01-03 05:00:00,335.35,338.0,329.78,334.75
1,MSFT,2022-01-04 05:00:00,334.83,335.2,326.12,329.01
2,MSFT,2022-01-05 05:00:00,325.86,326.07,315.98,316.38
3,MSFT,2022-01-06 05:00:00,313.15,318.7,311.49,313.88
4,MSFT,2022-01-07 05:00:00,314.15,316.5,310.09,314.04
5,MSFT,2022-01-10 05:00:00,309.485,314.72,304.69,314.27
6,MSFT,2022-01-11 05:00:00,313.38,316.61,309.89,314.98
7,MSFT,2022-01-12 05:00:00,319.67,323.41,317.08,318.27
8,MSFT,2022-01-13 05:00:00,320.4658,320.88,304.0,304.8
9,MSFT,2022-01-14 05:00:00,304.25,310.82,303.75,310.2
10,MSFT,2022-01-18 05:00:00,304.07,309.8,301.74,302.65
11,MSFT,2022-01-19 05:00:00,306.29,313.9093,302.7,303.33
12,MSFT,2022-01-20 05:00:00,309.07,311.6494,301.14,301.6
13,MSFT,2022-01-21 05:00:00,302.685,304.11,295.61,296.03
14,MSFT,2022-01-24 05:00:00,292.2,297.11,276.05,296.37
15,MSFT,2022-01-25 05:00:00,291.52,294.99,285.17,288.49
16,MSFT,2022-01-26 05:00:00,307.985,308.5,293.03,296.71
17,MSFT,2022-01-27 05:00:00,302.66,307.3,297.93,299.84
18,MSFT,2022-01-28 05:00:00,300.23,308.48,294.45,308.26
19,MSFT,2022-01-31 05:00:00,308.95,312.38,306.37,310.98
20,MSFT,2022-02-01 05:00:00,310.41,310.63,305.1293,308.76
21,MSFT,2022-02-02 05:00:00,309.63,315.12,308.88,313.46
22,MSFT,2022-02-03 05:00:00,309.49,311.23,299.96,301.25
23,MSFT,2022-02-04 05:00:00,300.21,308.8,299.97,305.94
24,MSFT,2022-02-07 05:00:00,306.17,307.84,299.9,300.95
25,MSFT,2022-02-08 05:00:00,301.25,305.561,299.95,304.56
26,MSFT,2022-02-09 05:00:00,309.865,311.93,307.39,311.21
27,MSFT,2022-02-10 05:00:00,304.04,309.12,300.7,302.38
28,MSFT,2022-02-11 05:00:00,303.19,304.29,294.22,295.04
29,MSFT,2022-02-14 05:00:00,293.77,296.76,291.35,295.0
30,MSFT,2022-02-15 05:00:00,300.008,300.8,297.02,300.47
31,MSFT,2022-02-16 05:00:00,298.365,300.87,293.68,299.5
32,MSFT,2022-02-17 05:00:00,296.36,296.8,290.0,290.73
33,MSFT,2022-02-18 05:00:00,293.05,293.86,286.305,287.93
34,MSFT,2022-02-22 05:00:00,285.0,291.54,284.5,287.72
35,MSFT,2022-02-23 05:00:00,290.18,291.7,280.1,280.27
